,open,high,low,close
0,7.69,7.85,7.67,
1,11.25,11.26,11.11,
2,11.15,11.4,11.15,
3,18.3,18.72,18.1,
4,6.9,6.99,6.82,
5,28.2,28.3,28.0,
6,35.77,36.5,35.64,
7,38.49,38.99,37.8,
8,50.58,50.69,49.27,
9,12.18,12.33,12.08,
10,0.0,0.0,0.0,
11,36.9,37.34,36.9,
12,20.5,21.1,20.41,
13,10.26,10.31,10.18,
14,93.06,94.34,91.27,
15,13.46,13.63,13.34,
16,27.51,27.95,27.4,
17,32.19,32.75,31.35,
18,11.79,11.94,11.7,
19,20.02,20.26,19.94,
20,16.4,17.3,16.4,
21,28.9,30.6,28.4,
22,27.34,28.35,27.34,
23,31.03,31.45,30.51,
24,14.04,14.16,13.91,
25,43.0,43.19,42.15,
26,45.4,45.7,44.94,
27,40.88,41.8,40.16,
28,26.0,26.99,25.5,
29,28.19,28.43,27.2,
30,53.62,53.83,52.7,
31,25.96,28.6,25.6,
32,15.14,15.46,15.12,
33,27.0,27.35,27.0,
34,28.16,28.48,27.85,
35,19.88,19.99,19.25,
36,17.9,18.23,17.9,
37,18.07,18.19,17.89,
38,28.48,30.73,27.82,
39,17.38,18.88,17.15,
40,28.29,29.33,27.91,
41,32.58,32.59,32.23,
42,35.99,36.3,35.53,
43,15.43,15.8,15.36,
44,38.37,38.93,38.3,
45,8.8,9.19,8.73,
46,28.93,29.35,28.0,
47,24.6,25.2,23.9,
48,29.92,30.54,29.68,
49,57.0,58.67,56.5,
50,42.6,43.98,42.25,
51,14.39,14.61,14.38,
52,23.68,23.86,23.59,
53,26.0,26.0,25.11,
54,19.7,20.29,19.7,
55,15.29,15.57,15.2,
56,63.25,64.53,62.61,
57,31.87,32.48,31.22,
58,45.77,46.17,45.1,
59,25.83,25.83,25.2,
60,17.86,19.09,17.61,
61,16.9,17.29,16.86,
62,27.09,27.6,26.1,
63,21.45,21.75,21.3,
64,76.29,76.31,74.58,
65,39.16,39.16,38.55,
66,16.84,17.09,16.81,
67,36.3,37.19,36.16,
68,22.51,22.51,22.02,
69,50.66,51.46,50.61,
70,20.57,20.79,20.31,
71,12.06,12.19,11.97,
72,22.12,24.96,21.7,
73,14.68,14.73,14.56,
74,24.45,24.6,24.3,
75,12.45,12.65,12.29,
76,119.5,122.02,118.0,
77,18.22,18.42,17.98,
78,9.89,9.9,9.76,
79,15.38,15.86,15.23,
80,30.5,30.86,30.29,
81,17.2,17.25,16.71,
82,34.95,35.3,34.81,
83,17.03,17.28,16.9,
84,14.4,14.67,14.36,
85,12.97,13.3,12.96,
86,59.0,59.44,58.06,
87,31.14,31.19,30.02,
88,29.7,29.92,29.56,
89,36.3,36.7,35.9,
90,23.06,23.9,23.05,
91,34.06,34.44,34.05,
92,18.7,18.76,18.36,
93,52.0,53.18,51.7,
94,16.35,16.69,16.31,
95,80.03,81.49,79.05,
96,17.66,18.29,17.66,
97,21.2,21.79,20.82,
98,14.67,14.78,14.46,
99,35.25,35.75,34.81,
100,14.12,14.3,14.07,
101,16.97,16.99,16.7,
102,7.0,7.06,6.91,
103,26.9,26.9,26.45,
104,59.93,60.39,58.1,
105,18.4,18.76,18.22,
106,15.5,15.72,15.38,
107,7.04,7.05,6.92,
108,13.95,14.14,13.84,
109,59.81,61.7,59.49,
110,24.24,24.3,23.85,
111,71.48,75.0,71.23,
112,36.1,36.1,35.6,
113,61.0,62.1,60.45,
114,23.77,24.08,23.63,
115,22.9,24.2,22.71,
116,30.5,30.8,30.22,
117,20.31,20.47,20.01,
118,39.65,40.44,39.55,
119,27.95,28.16,27.5,
120,11.14,11.16,10.97,
121,28.0,28.23,27.34,
122,49.87,50.14,48.5,
123,26.75,27.8,25.92,
124,20.03,20.25,19.48,
125,29.2,30.88,29.15,
126,16.81,17.23,16.81,
127,19.37,19.72,19.13,
128,19.27,19.95,19.18,
129,20.0,20.1,19.79,
130,39.0,39.09,38.81,
131,20.39,20.54,19.86,
132,15.9,16.47,15.62,
133,15.66,16.18,15.24,
134,26.11,26.35,26.11,
135,35.51,35.91,35.05,
136,20.81,21.48,20.7,
137,25.27,25.48,25.05,
138,27.62,27.9,27.51,
139,24.05,24.2,23.71,
140,16.07,16.97,15.89,
141,19.74,19.74,19.46,
142,11.73,11.85,11.61,
143,21.92,22.14,21.92,
144,31.67,32.29,31.67,
145,20.44,20.52,19.98,
146,68.52,68.97,68.22,
147,34.68,35.19,34.61,
148,55.88,56.65,55.0,
149,53.18,53.47,51.33,
150,31.92,31.97,31.62,
151,10.23,10.23,10.23,
152,21.27,21.5,20.82,
153,44.79,45.25,44.46,
154,33.25,33.77,32.82,
155,24.19,24.5,24.0,
156,11.48,11.74,11.38,
157,18.05,18.24,18.05,
158,27.5,27.63,27.27,
159,14.15,14.27,14.02,
160,28.44,28.95,27.85,
161,34.96,37.97,34.06,
162,9.1,9.5,9.0,
163,23.61,24.29,23.61,
164,15.41,15.77,15.27,
165,13.96,14.2,13.86,
166,50.0,50.79,49.32,
167,21.03,21.25,21.03,
168,8.88,8.96,8.85,
169,11.24,11.35,11.12,
170,40.95,41.04,40.22,
171,11.58,11.68,11.58,
172,28.31,29.06,28.31,
173,34.89,35.24,34.88,
174,52.48,56.56,52.01,
175,13.39,13.42,13.21,
176,14.35,14.41,14.0,
177,19.68,20.28,19.38,
178,0.0,0.0,0.0,
179,76.02,77.1,75.66,
180,46.34,46.84,44.95,
181,12.72,12.94,12.72,
182,24.41,24.99,24.3,
183,31.3,32.1,31.12,
184,30.36,30.95,30.3,
185,63.03,65.43,62.64,
186,32.43,33.79,32.43,
187,13.62,13.71,13.4,
188,24.29,24.44,24.07,
189,21.11,21.68,21.1,
190,14.12,14.28,14.1,
191,22.17,23.78,22.11,
192,38.0,39.2,37.6,
193,12.59,12.59,12.3,
194,15.98,16.23,15.7,
195,36.38,36.55,36.18,
196,17.73,17.85,17.28,
197,26.5,27.27,26.47,
198,19.68,19.7,19.34,
199,26.15,26.34,25.8,
200,44.33,45.8,43.5,
201,8.83,8.93,8.76,
202,29.45,30.3,29.36,
203,0.0,0.0,0.0,
204,20.96,22.48,20.9,
205,18.7,19.6,18.7,
206,39.4,40.49,39.07,
207,43.6,44.3,42.9,
208,39.0,39.0,38.53,
209,40.32,40.57,39.92,
210,20.66,21.2,20.66,
211,41.5,42.52,40.66,
212,25.61,26.85,25.61,
213,24.66,24.99,24.25,
214,34.95,34.96,34.36,
215,17.54,17.75,17.4,
216,19.7,20.6,19.28,
217,54.6,55.44,53.88,
218,75.45,75.9,74.21,
219,15.49,15.5,15.33,
220,183.8,183.8,179.35,
221,0.0,0.0,0.0,
222,25.6,25.77,25.28,
223,31.3,31.88,31.12,
224,15.32,15.5,15.12,
225,15.64,16.0,15.64,
226,41.92,42.28,41.26,
227,37.62,38.75,37.42,
228,12.77,12.9,12.51,
229,18.1,18.5,18.01,
230,60.08,61.98,60.05,
231,16.76,16.89,16.3,
232,21.81,22.15,21.76,
233,44.9,45.09,44.22,
234,20.47,20.58,20.31,
235,22.92,23.3,22.52,
236,39.99,40.28,39.7,
237,15.68,15.7,15.38,
238,47.8,48.56,47.8,
239,19.7,20.16,19.62,
240,5.95,6.02,5.91,
241,23.12,23.99,22.71,
242,16.36,16.98,15.82,
243,21.52,23.28,21.41,
244,34.57,34.72,34.2,
245,37.0,37.2,36.65,
246,21.85,22.11,21.6,
247,49.18,49.53,48.87,
248,24.46,24.46,23.88,
249,23.78,23.94,23.5,
250,78.75,82.5,78.75,
251,51.62,52.38,50.91,
252,23.6,24.18,23.2,
253,11.35,11.41,11.18,
254,6.4,6.4,6.35,
255,19.81,19.86,19.56,
256,35.62,35.96,35.35,
257,16.7,16.7,16.7,
258,14.39,14.66,14.13,
259,19.63,19.78,19.42,
260,8.25,8.33,8.23,
261,46.1,47.15,45.88,
262,12.0,12.13,11.92,
263,25.48,26.18,25.37,
264,29.84,29.96,29.5,
265,14.7,15.09,14.67,
266,14.48,14.58,14.34,
267,13.83,14.8,13.73,
268,26.96,27.15,26.8,
269,15.93,16.88,15.8,
270,18.44,18.58,18.16,
271,16.01,16.39,15.95,
272,28.66,28.78,28.52,
273,38.3,38.88,37.71,
274,14.4,14.5,14.24,
275,8.13,8.19,8.1,
276,9.72,9.81,9.51,
277,16.16,17.18,16.04,
278,19.37,19.8,18.6,
279,53.91,54.48,52.9,
280,38.3,39.36,37.95,
281,15.99,15.99,15.99,
282,23.07,23.3,23.02,
283,18.54,18.77,18.41,
284,25.0,25.3,24.4,
285,28.88,28.99,28.4,
286,25.66,25.9,25.54,
287,57.31,58.5,56.22,
288,32.5,32.69,32.35,
289,19.08,19.5,19.08,
290,23.4,23.78,23.13,
291,51.68,52.68,51.22,
292,48.9,49.77,48.72,
293,17.0,17.08,16.9,
294,53.28,54.68,51.83,
295,5.74,5.81,5.69,
296,30.05,30.14,29.72,
297,35.8,37.3,35.58,
298,23.99,24.4,23.51,
299,14.77,14.86,14.68,
300,22.41,23.42,22.22,
301,42.75,43.47,42.4,
302,40.58,40.79,40.3,
303,41.19,41.98,41.05,
304,31.28,32.11,31.23,
305,17.55,17.65,17.49,
306,56.78,56.79,55.45,
307,11.67,11.74,11.66,
308,16.4,16.6,16.12,
309,16.58,16.89,16.47,
310,24.1,24.17,23.65,
311,39.12,39.79,38.89,
312,24.15,24.28,23.75,
313,133.58,136.2,131.3,
314,36.19,37.21,36.0,
315,14.94,15.24,14.75,
316,21.0,21.79,20.81,
317,8.39,8.4,8.24,
318,14.85,14.96,14.71,
319,11.5,11.58,11.4,
320,8.03,8.08,7.96,
321,57.2,57.6,57.11,
322,98.0,98.85,96.61,
323,24.9,25.45,24.51,
324,18.58,18.62,18.47,
325,17.69,17.92,17.22,
326,25.07,25.3,24.87,
327,44.79,45.15,43.52,
328,42.11,42.4,41.89,
329,32.51,33.27,32.2,
330,20.98,21.5,20.95,
331,26.86,26.95,26.51,
332,8.2,8.32,8.14,
333,56.0,58.36,55.98,
334,9.76,9.86,9.67,
335,7.65,7.69,7.58,
336,8.76,8.84,8.69,
337,9.76,9.84,9.7,
338,15.36,15.52,15.35,
339,22.66,23.12,22.49,
340,13.54,14.4,13.43,
341,26.8,26.82,26.21,
