date,open,high,low,close
2018-01-02,13.35,13.93,13.32,13.7
2017-12-29,13.21,13.43,13.1,13.3
2017-12-28,13.28,13.46,13.02,13.21
2017-12-27,13.58,13.78,13.19,13.29
2017-12-26,13.26,13.69,13.19,13.66
2017-12-25,13.52,13.86,13.16,13.25
2017-12-22,13.5,13.63,13.45,13.52
2017-12-21,13.18,13.68,13.16,13.54
2017-12-20,13.2,13.31,13.13,13.26
2017-12-19,12.79,13.32,12.74,13.28
2017-12-18,12.73,12.91,12.64,12.75
2017-12-15,12.9,12.93,12.67,12.72
2017-12-14,13.15,13.31,12.91,13.0
2017-12-13,13.0,13.2,12.88,13.13
2017-12-12,13.4,13.48,13.02,13.02
2017-12-11,13.08,13.57,12.88,13.5
2017-12-08,12.89,13.09,12.75,13.09
2017-12-07,13.05,13.14,12.75,12.83
2017-12-06,13.26,13.27,12.79,13.08
2017-12-05,13.15,13.49,13.1,13.3
2017-12-04,13.05,13.37,13.0,13.3
2017-12-01,13.4,13.48,12.96,13.0
2017-11-30,13.7,13.73,13.26,13.38
2017-11-29,13.73,13.93,13.47,13.82
2017-11-28,13.85,13.85,13.4,13.7
2017-11-27,14.3,14.3,13.75,13.93
2017-11-24,14.29,14.59,13.78,14.56
2017-11-23,15.15,15.24,14.07,14.35
2017-11-22,14.48,15.24,14.48,15.1
2017-11-21,14.07,14.79,14.01,14.45
2017-11-20,13.13,14.25,13.05,14.25
2017-11-17,13.17,13.46,13.03,13.18
2017-11-16,12.9,13.12,12.67,13.1
2017-11-15,12.9,13.13,12.77,12.9
2017-11-14,12.95,13.26,12.81,12.95
2017-11-13,12.35,13.1,12.35,12.9
2017-11-10,12.37,12.55,12.15,12.3
2017-11-09,12.2,12.57,12.15,12.33
2017-11-08,12.0,12.59,11.93,12.13
2017-11-07,11.27,12.09,11.25,11.92
2017-11-06,11.42,11.42,11.09,11.28
2017-11-03,11.49,11.68,11.35,11.39
2017-11-02,11.36,11.58,11.26,11.54
2017-11-01,11.56,11.59,11.32,11.4
2017-10-31,11.55,11.58,11.39,11.54
2017-10-30,11.55,11.73,11.45,11.56
2017-10-27,11.19,11.56,11.18,11.56
2017-10-26,11.25,11.32,11.12,11.18
2017-10-25,11.36,11.37,11.25,11.27
2017-10-24,11.2,11.42,11.18,11.39
2017-10-23,11.39,11.4,11.15,11.19
2017-10-20,11.59,11.59,11.41,11.48
2017-10-19,11.64,11.72,11.57,11.63
2017-10-18,11.53,11.7,11.51,11.69
2017-10-17,11.62,11.65,11.48,11.51
2017-10-16,11.36,11.6,11.29,11.59
2017-10-13,11.56,11.56,11.25,11.36
2017-10-12,11.54,11.58,11.47,11.55
2017-10-11,11.48,11.58,11.34,11.53
2017-10-10,11.33,11.5,11.33,11.47
2017-10-09,11.57,11.64,11.26,11.3
2017-09-29,10.92,11.16,10.86,11.11
2017-09-28,10.98,10.98,10.82,10.88
2017-09-27,11.01,11.08,10.9,10.93
2017-09-26,11.26,11.3,10.96,11.05
2017-09-25,11.44,11.45,11.18,11.29
2017-09-22,11.43,11.52,11.31,11.44
2017-09-21,11.26,11.51,11.2,11.46
2017-09-20,11.14,11.37,11.05,11.29
2017-09-19,11.25,11.34,11.08,11.13
2017-09-18,11.25,11.32,11.2,11.25
2017-09-15,11.29,11.32,11.15,11.29
2017-09-14,11.43,11.59,11.24,11.32
2017-09-13,11.49,11.54,11.34,11.43
2017-09-12,11.38,11.54,11.27,11.54
2017-09-11,11.54,11.69,11.3,11.38
2017-09-08,11.46,11.64,11.38,11.49
2017-09-07,11.65,11.75,11.39,11.44
2017-09-06,11.59,11.88,11.48,11.7
2017-09-05,11.68,11.94,11.6,11.64
2017-09-04,11.18,11.72,11.17,11.72
2017-09-01,11.28,11.39,11.15,11.21
2017-08-31,11.39,11.44,11.15,11.28
2017-08-30,11.68,11.7,11.35,11.43
2017-08-29,11.3,11.74,11.28,11.67
2017-08-28,11.1,11.54,11.1,11.35
2017-08-25,10.94,11.17,10.9,11.11
2017-08-24,10.89,11.11,10.84,10.93
2017-08-23,10.63,10.98,10.59,10.9
2017-08-22,10.48,10.66,10.37,10.65
2017-08-21,10.43,10.52,10.39,10.46
2017-08-18,10.36,10.6,10.29,10.44
2017-08-17,10.35,10.42,10.29,10.42
2017-08-16,10.29,10.37,10.15,10.34
2017-08-15,10.24,10.51,10.21,10.31
2017-08-14,10.13,10.25,10.04,10.22
2017-08-11,10.48,10.54,9.99,10.02
2017-08-10,10.7,10.82,10.54,10.62
2017-08-09,10.96,11.02,10.68,10.73
2017-08-08,11.0,11.11,10.91,11.05
2017-08-07,11.06,11.17,10.9,11.0
2017-08-04,11.0,11.29,10.93,11.17
2017-08-03,11.14,11.22,10.97,11.01
2017-08-02,11.05,11.34,10.96,11.15
2017-08-01,10.64,11.08,10.6,11.04
2017-07-31,10.8,10.82,10.45,10.67
2017-07-28,10.61,10.81,10.58,10.74
2017-07-27,10.72,10.77,10.53,10.59
2017-07-26,10.92,11.18,10.66,10.74
2017-07-25,10.98,11.27,10.95,11.0
2017-07-24,10.82,11.06,10.73,10.95
2017-07-21,10.83,10.95,10.69,10.89
2017-07-20,11.08,11.22,10.91,10.97
2017-07-19,10.99,11.19,10.88,11.09
2017-07-18,10.75,11.14,10.62,11.05
2017-07-17,10.95,11.33,10.72,10.81
2017-07-14,10.81,10.94,10.66,10.9
2017-07-13,10.3,10.9,10.24,10.9
2017-07-12,10.27,10.58,10.2,10.34
2017-07-11,9.61,10.46,9.61,10.25
2017-07-10,9.45,9.66,9.44,9.59
2017-07-07,9.37,9.48,9.34,9.47
2017-07-06,9.36,9.41,9.31,9.4
2017-07-05,9.29,9.38,9.27,9.37
2017-07-04,9.4,9.41,9.3,9.34
2017-07-03,9.4,9.43,9.34,9.4
2017-06-30,9.4,9.43,9.31,9.39
2017-06-29,9.43,9.45,9.37,9.43
2017-06-28,9.35,9.49,9.33,9.43
2017-06-27,9.3,9.39,9.27,9.36
2017-06-26,9.26,9.4,9.26,9.3
2017-06-23,9.23,9.27,9.16,9.25
2017-06-22,9.15,9.4,9.14,9.25
2017-06-21,9.17,9.18,9.11,9.15
2017-06-20,9.12,9.16,9.09,9.12
2017-06-19,9.03,9.15,9.02,9.13
2017-06-16,9.04,9.08,9.01,9.02
2017-06-15,9.08,9.08,9.03,9.04
2017-06-14,9.12,9.13,9.04,9.08
2017-06-13,9.11,9.14,9.05,9.12
2017-06-12,9.15,9.19,9.1,9.11
2017-06-09,9.15,9.22,9.12,9.15
2017-06-08,9.11,9.15,9.08,9.13
2017-06-07,9.02,9.15,9.01,9.13
2017-06-06,9.01,9.06,8.99,9.04
2017-06-05,9.13,9.17,8.99,9.03
2017-06-02,9.18,9.29,9.14,9.17
2017-06-01,9.2,9.23,9.12,9.19
2017-05-31,9.1,9.23,9.06,9.2
2017-05-30,9.11,9.11,9.11,9.11
2017-05-26,9.08,9.13,9.04,9.1
2017-05-25,8.79,9.14,8.78,9.1
2017-05-24,8.78,8.83,8.68,8.81
2017-05-23,8.67,8.84,8.64,8.79
2017-05-22,8.68,8.73,8.61,8.68
2017-05-19,8.74,8.76,8.68,8.69
2017-05-18,8.72,8.77,8.71,8.73
2017-05-17,8.81,8.81,8.75,8.77
2017-05-16,8.84,8.85,8.73,8.84
2017-05-15,8.89,8.95,8.81,8.86
2017-05-12,8.68,8.9,8.64,8.9
2017-05-11,8.65,8.72,8.6,8.7
2017-05-10,8.63,8.8,8.62,8.67
2017-05-09,8.56,8.64,8.55,8.64
2017-05-08,8.6,8.62,8.54,8.57
2017-05-05,8.74,8.76,8.58,8.63
2017-05-04,8.89,8.89,8.72,8.74
2017-05-03,8.92,8.93,8.89,8.91
2017-05-02,8.96,8.96,8.9,8.94
2017-04-28,8.96,8.99,8.92,8.99
2017-04-27,8.97,8.98,8.91,8.97
2017-04-26,9.0,9.01,8.96,8.99
2017-04-25,8.93,9.01,8.93,9.0
2017-04-24,8.97,8.98,8.89,8.93
2017-04-21,8.92,8.99,8.9,8.97
2017-04-20,8.9,8.94,8.89,8.92
2017-04-19,9.03,9.04,8.9,8.91
2017-04-18,9.09,9.1,9.05,9.05
2017-04-17,9.08,9.11,9.05,9.1
2017-04-14,9.11,9.12,9.06,9.08
2017-04-13,9.11,9.14,9.1,9.12
2017-04-12,9.16,9.17,9.1,9.12
2017-04-11,9.17,9.19,9.09,9.15
2017-04-10,9.2,9.21,9.17,9.18
2017-04-07,9.19,9.22,9.17,9.2
2017-04-06,9.2,9.22,9.17,9.2
2017-04-05,9.16,9.22,9.15,9.21
2017-03-31,9.08,9.18,9.08,9.17
2017-03-30,9.12,9.12,9.06,9.08
2017-03-29,9.13,9.15,9.09,9.11
2017-03-28,9.16,9.17,9.1,9.12
2017-03-27,9.12,9.19,9.08,9.14
2017-03-24,9.2,9.24,9.16,9.19
2017-03-23,9.16,9.24,9.15,9.2
2017-03-22,9.2,9.22,9.14,9.16
2017-03-21,9.25,9.26,9.2,9.24
2017-03-20,9.29,9.31,9.22,9.25
2017-03-17,9.45,9.46,9.3,9.31
2017-03-16,9.48,9.53,9.45,9.52
2017-03-15,9.42,9.48,9.42,9.48
2017-03-14,9.43,9.46,9.41,9.44
2017-03-13,9.39,9.45,9.37,9.44
2017-03-10,9.38,9.41,9.36,9.4
2017-03-09,9.41,9.43,9.36,9.38
2017-03-08,9.43,9.45,9.4,9.42
2017-03-07,9.44,9.46,9.4,9.45
2017-03-06,9.4,9.46,9.39,9.45
2017-03-03,9.41,9.43,9.36,9.4
2017-03-02,9.51,9.54,9.42,9.43
2017-03-01,9.49,9.55,9.47,9.49
2017-02-28,9.43,9.51,9.42,9.48
2017-02-27,9.5,9.5,9.42,9.43
2017-02-24,9.5,9.54,9.48,9.5
2017-02-23,9.55,9.57,9.48,9.51
2017-02-22,9.57,9.57,9.5,9.57
2017-02-21,9.55,9.62,9.54,9.57
2017-02-20,9.4,9.58,9.4,9.56
2017-02-17,9.46,9.49,9.37,9.39
2017-02-16,9.45,9.5,9.42,9.46
2017-02-15,9.4,9.54,9.39,9.45
2017-02-14,9.41,9.42,9.37,9.4
2017-02-13,9.34,9.44,9.33,9.41
2017-02-10,9.32,9.36,9.31,9.33
2017-02-09,9.3,9.33,9.28,9.31
2017-02-08,9.29,9.3,9.24,9.3
2017-02-07,9.31,9.32,9.27,9.3
2017-02-06,9.26,9.32,9.26,9.31
2017-02-03,9.34,9.36,9.23,9.26
2017-02-02,9.45,10.26,9.33,10.26
2017-01-26,9.27,9.34,9.26,9.33
2017-01-25,9.27,9.28,9.25,9.26
2017-01-24,9.23,9.28,9.2,9.27
2017-01-23,9.22,9.26,9.2,9.22
2017-01-20,9.17,9.23,9.17,9.22
2017-01-19,9.15,9.24,9.15,9.18
2017-01-18,9.14,9.19,9.13,9.17
2017-01-17,9.12,9.16,9.1,9.15
2017-01-16,9.15,9.16,9.07,9.14
2017-01-13,9.14,9.19,9.12,9.16
2017-01-12,9.13,9.17,9.13,9.15
2017-01-11,9.14,9.17,9.13,9.14
2017-01-10,9.15,9.16,9.14,9.15
2017-01-09,9.13,9.17,9.11,9.15
2017-01-06,9.17,9.17,9.11,9.13
2017-01-05,9.17,9.18,9.15,9.17
2017-01-04,9.15,9.18,9.14,9.16
2017-01-03,9.11,9.18,9.09,9.16
2016-12-30,9.08,9.1,9.06,9.1
2016-12-29,9.07,9.09,9.05,9.08
2016-12-28,9.08,9.11,9.04,9.06
2016-12-27,9.12,9.13,9.07,9.08
2016-12-26,9.06,9.13,9.02,9.12
2016-12-23,9.14,9.14,9.07,9.08
2016-12-22,9.15,9.16,9.11,9.14
2016-12-21,9.12,9.16,9.11,9.16
2016-12-20,9.2,9.2,9.08,9.11
2016-12-19,9.22,9.23,9.17,9.2
2016-12-16,9.24,9.29,9.21,9.25
2016-12-15,9.37,9.41,9.21,9.25
2016-12-14,9.42,9.51,9.4,9.4
2016-12-13,9.48,9.5,9.33,9.42
2016-12-12,9.65,9.77,9.44,9.5
2016-12-09,9.5,9.75,9.48,9.65
2016-12-08,9.5,9.55,9.43,9.52
2016-12-07,9.48,9.49,9.41,9.48
2016-12-06,9.48,9.52,9.45,9.49
2016-12-05,9.5,9.54,9.41,9.46
2016-12-02,9.6,9.6,9.44,9.55
